Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7204.500419030907	3.8	-7197.657748900456	-6.842670130451843	
1	-7204.500419030907	3.8	-7197.657748900456	-6.842670130451843	
2	-7204.500419030907	3.8	-7197.657748900456	-6.842670130451843	
3	-7204.440622569495	3.9	-7196.71319339938	-7.727429170115129	
4	-7202.083447941281	4.1	-7194.964614282558	-7.118833658722965	
5	-7202.985542336243	4.1	-7194.476702553142	-8.508839783101353	
6	-7199.206395461646	4.2	-7192.551360767739	-6.655034693906688	
7	-7199.206395461646	4.2	-7192.551360767739	-6.655034693906688	
8	-7199.206395461646	4.2	-7192.551360767739	-6.655034693906688	
9	-7201.247581400215	4.5	-7191.729008413725	-9.518572986489525	
