"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7156.46267155469,5.68578148438664,1.20699783559496e-13,7.42646374064742
"2","GTR","relaxed_log_normal","yule",-7159.12183717625,6.1472071437118,8.44978260084303e-15,10.9352206214422
"3","GTR","strict","birth_death",-7146.64080428109,4.41852804558689,0.00000000222479115996631,9.70957734035394
"4","GTR","strict","yule",-7156.89251407201,6.27677360568236,7.8528672868416e-14,8.67526035606152
"5","HKY","relaxed_log_normal","birth_death",-7136.6259905679,4.90266701770278,0.0000497356253783315,6.41837849472399
"6","HKY","relaxed_log_normal","yule",-7132.26780057374,4.16308431405372,0.00388512904664907,6.44972674045051
"7","HKY","strict","birth_death",-7140.2756280275,4.83566369130516,0.00000129315377961112,6.93633743728844
"8","HKY","strict","yule",-7137.41203978506,4.99589241214125,0.0000226616091884904,5.73784577522337
"9","JC69","relaxed_log_normal","birth_death",-7130.55411463187,3.85562392401071,0.0215600516523005,6.11239393037435
"10","JC69","relaxed_log_normal","yule",-7136.91295237107,5.38830781217913,0.0000373285959941524,5.627279870363
"11","JC69","strict","birth_death",-7126.74313449514,3.35247679292454,0.97440037179211,4.65431699603224
"12","TN93","relaxed_log_normal","birth_death",-7142.86210651969,4.94088896322384,0.0000000973546807109325,10.2133858303985
"13","TN93","relaxed_log_normal","yule",-7145.3992269678,5.10165453793375,0.0000000077001542707111,8.90751402875548
"14","TN93","strict","birth_death",-7139.70895466008,4.20481927416821,0.00000227904704427001,6.11185858257522
"15","TN93","strict","yule",-7136.81811130248,3.9629716846283,0.0000410421977216894,13.84114153976
