#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-8609.085542192395	-8601.559294410363	-7.52624778203285	-8601.559294410363	3.014449149014416	0.1	1.000589076717171	0.008035235988096202	0.08765623965772344	-8.345611927153652	1.0	0.5
1000	-6840.35761590658	-6836.948675392522	-3.4089405140577806	-6836.948675392522	0.985015935466049	0.24900982313345893	1.0122211330145874	0.03052625498361668	0.1803645811482182	-3.4180913242522224	0.7011867040271053	0.4608499111841741
2000	-6841.921532434543	-6838.773430712051	-3.148101722492103	-6838.773430712051	0.9810760868002639	0.10719152862728006	1.0566316592903224	0.017223499775535757	0.1295956867996858	-3.916661531725077	0.7593719570317649	0.7921078934994881
3000	-6840.11818160027	-6837.7827492789165	-2.3354323213530397	-6837.7827492789165	0.9496565156476869	0.15862127346539592	1.0674979005665184	0.018677630876353615	0.13041235689473646	-2.788892259088071	1.2093900040564889	0.3189417897118986
4000	-6842.371455956331	-6841.15478737571	-1.216668580621225	-6841.15478737571	0.8439084472666152	0.04765135894405312	1.0481598098860132	0.002765575343499174	0.05099913342144168	-2.5143825970528475	1.2565914957403095	0.1457072995594186
5000	-6841.426134812936	-6840.33731985075	-1.088814962186416	-6840.33731985075	1.1121900248353096	0.004542832292731173	0.9989187199565847	1.4505158249006492E-5	0.0038105228647932594	-3.581514038591189	1.307316904560303	0.4142754954512999
6000	-6842.747675340061	-6841.978982865099	-0.768692474961445	-6841.978982865099	0.9306437532853844	0.004007213513361613	1.0016009722683434	1.0638962363843504E-5	0.0032530479532096607	-3.320553339147925	0.6190744776016291	0.49818104127231266
7000	-6842.1946859798645	-6841.685343082045	-0.5093428978194492	-6841.685343082045	0.9774786869313766	0.0031238681788658463	0.9984163936899769	4.705305263859227E-6	0.002172155842086054	-3.178167476516477	0.5112950356743959	0.7816683112345342
8000	-6840.424316899325	-6838.137352654004	-2.286964245321359	-6838.137352654004	0.9059047913599352	0.07468510741004712	0.9917035702588897	0.007535440291315425	0.08731491695330527	-3.3070010114682287	0.7395691227915914	0.7124860733742953
9000	-6840.065528454676	-6838.499595451603	-1.5659330030722978	-6838.499595451603	1.0843961871096546	0.010629315981539269	0.9984771132712291	7.833681187336517E-5	0.008846514413748547	-3.651324698921265	0.8958726738932261	0.608187157331005
10000	-6843.386125446952	-6842.017124831602	-1.3690006153500314	-6842.017124831602	0.9964140893673668	0.01749893348157028	1.001968238409111	3.7153620100704277E-4	0.019273003502952253	-3.206883818085814	1.0888437609786932	0.22568081308382798
11000	-6839.119692032104	-6837.33018354857	-1.7895084835338113	-6837.33018354857	0.9385306654579465	0.03407889580205849	0.9934154087609781	5.980119821003909E-4	0.02469273389023923	-3.2771030147652316	0.6494777043273813	0.5830852737007274
12000	-6841.887449838485	-6837.872069335843	-4.015380502642244	-6837.872069335843	0.9531587875626362	0.0920010996136383	0.9613707233460603	0.01084390843113605	0.10703332574403052	-4.894073050497222	1.4805764840876507	0.68516513963321
13000	-6843.057108174094	-6838.484567317476	-4.572540856617783	-6838.484567317476	1.1505205507690106	0.22116201078016212	0.9142018508771332	0.05834612103763032	0.24854419969710478	-4.709212769665484	2.3244111371688336	0.15919902850248116
14000	-6839.074944712685	-6835.171092358691	-3.9038523539938352	-6835.171092358691	0.9114331022559825	0.3209518271624007	0.9579544206048117	0.10772809513741836	0.35515415321135774	-3.6077750777507243	0.6398573178482903	0.512898632492657
