Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-13554.06604279055	-13540.798948860294	N	-13554.06604279055	13.267093930256104
1	-12990.82852783532	-12984.137938905393	2.0	-12990.82852783532	6.690588929926123
2	-10503.567822713765	-10502.394685278858	3.0	-10503.567822713765	1.1731374349075203
3	-9067.152067068439	-9067.683591309946	4.0	-9067.152067068439	-0.5315242415066337
4	-8830.684182419498	-8830.530358985563	3.3	-8830.684182419498	0.15382343393591835
5	-7945.6495366051895	-7949.209349474858	2.6	-7945.6495366051895	-3.559812869668465
6	-7855.290579087267	-7866.964861015654	2.6	-7855.290579087267	-11.674281928385918
7	-7394.386932523392	-7401.826792841882	2.7	-7394.386932523392	-7.439860318489751
8	-7355.175658510307	-7362.4696516123495	2.9	-7355.175658510307	-7.293993102042449
9	-7290.851805460033	-7300.735681133183	3.4	-7290.851805460033	-9.883875673150532
10	-7202.931000329158	-7208.822622417915	3.6	-7202.931000329158	-5.891622088756566
11	-7190.145695871265	-7199.200992368238	3.7	-7190.145695871265	-9.055296496972543
12	-7101.6485777856	-7112.9882281674745	3.7	-7101.6485777856	-11.33965038187496
13	-7071.7665281766085	-7078.519253342245	3.8	-7071.7665281766085	-6.752725165636226
14	-7026.291819662302	-7034.5539076646555	4.0	-7026.291819662302	-8.262088002352815
15	-6986.427652322431	-6992.806436830485	4.1	-6986.427652322431	-6.3787845080543715
16	-6963.880111460914	-6969.221034658775	4.3	-6963.880111460914	-5.340923197861203
17	-6963.0642123368625	-6967.73057183899	4.5	-6963.0642123368625	-4.666359502127696
18	-6960.123224988485	-6967.419833750015	4.7	-6960.123224988485	-7.296608761529236
19	-6929.5460600001115	-6936.138048421833	4.2	-6929.5460600001115	-6.591988421721958
20	-6927.826269410029	-6934.8055203130825	4.3	-6927.826269410029	-6.97925090305325
21	-6908.937335749203	-6915.7053792673205	4.4	-6908.937335749203	-6.768043518116907
22	-6900.993725923614	-6907.250237499091	4.5	-6900.993725923614	-6.256511575476952
23	-6897.697115581058	-6902.959145299917	4.6	-6897.697115581058	-5.262029718858929
24	-6888.574698654744	-6893.7967976661685	4.7	-6888.574698654744	-5.222099011424665
25	-6886.313609596826	-6892.091925216124	4.9	-6886.313609596826	-5.778315619298529
26	-6879.778434836756	-6888.208857283411	5.0	-6879.778434836756	-8.430422446655133
27	-6871.051941600258	-6877.096207578308	5.0	-6871.051941600258	-6.044265978049745
28	-6857.87382046216	-6864.196755445396	5.1	-6857.87382046216	-6.322934983235606
29	-6856.919623050068	-6863.523663263244	4.7	-6856.919623050068	-6.604040213175438
30	-6851.151357950111	-6857.118802517018	4.8	-6851.151357950111	-5.967444566907397
31	-6848.648003478156	-6855.083751965007	4.9	-6848.648003478156	-6.435748486850933
32	-6846.840546557805	-6852.667289457562	5.0	-6846.840546557805	-5.826742899756976
33	-6841.681813353746	-6848.334944729518	5.0	-6841.681813353746	-6.653131375770979
34	-6841.503488649526	-6847.978033237056	5.1	-6841.503488649526	-6.4745445875297865
35	-6840.4430790187325	-6846.863946476156	5.2	-6840.4430790187325	-6.420867457424029
36	-6839.4477875759685	-6847.055999536353	5.3	-6839.4477875759685	-7.608211960384736
37	-6839.397750255095	-6846.073728050994	5.4	-6839.397750255095	-6.675977795898456
38	-6838.90824069941	-6844.490753895324	5.5	-6838.90824069941	-5.5825131959139025
39	-6838.83823259229	-6845.136156231849	5.5	-6838.83823259229	-6.297923639558813
40	-6838.736012680742	-6844.649223714222	5.6	-6838.736012680742	-5.913211033480708
41	-6837.816340065229	-6843.684361116179	5.6	-6837.816340065229	-5.86802105094969
42	-6837.334753530444	-6843.366214133477	5.7	-6837.334753530444	-6.031460603033056
43	-6836.721634386203	-6843.3986150746305	5.8	-6836.721634386203	-6.676980688427597
44	-6836.668382198241	-6843.022218055714	5.9	-6836.668382198241	-6.353835857473313
45	-6836.048615972674	-6841.938324371779	6.0	-6836.048615972674	-5.889708399105478
46	-6835.969949390303	-6842.856423550549	6.0	-6835.969949390303	-6.886474160246188
47	-6835.858496858906	-6841.895887973188	6.1	-6835.858496858906	-6.037391114282062
48	-6835.826711558953	-6841.631148460372	6.2	-6835.826711558953	-5.8044369014187165
49	-6835.801461073832	-6841.723402692075	5.0	-6835.801461073832	-5.92194161824289
50	-6835.78743149875	-6842.416736342408	5.1	-6835.78743149875	-6.62930484365755
51	-6835.777358864609	-6841.663114829865	5.1	-6835.777358864609	-5.885755965255987
52	-6835.729245643324	-6841.632602581076	5.2	-6835.729245643324	-5.9033569377515445
53	-6835.704949486126	-6841.663316811144	5.3	-6835.704949486126	-5.958367325017679
54	-6835.67971443809	-6841.770235519873	5.4	-6835.67971443809	-6.0905210817827555
55	-6835.65000972096	-6841.5904645364135	5.4	-6835.65000972096	-5.940454815453893
56	-6835.610068839514	-6841.500152841361	5.5	-6835.610068839514	-5.8900840018481535
57	-6835.596593051598	-6843.978087702201	5.6	-6835.596593051598	-8.381494650603457
58	-6835.584181349158	-6842.137347586273	5.6	-6835.584181349158	-6.553166237114961
59	-6835.525854294469	-6841.440066726729	5.4	-6835.525854294469	-5.914212432260053
60	-6835.520177293321	-6841.591687964764	5.5	-6835.520177293321	-6.071510671443155
61	-6835.515150968043	-6841.43099630005	5.6	-6835.515150968043	-5.915845332006854
62	-6835.515020559023	-6841.908089327602	5.7	-6835.515020559023	-6.3930687685794005
63	-6835.501205106706	-6842.223779236595	5.7	-6835.501205106706	-6.7225741298887645
64	-6835.465642291024	-6841.984532174486	5.8	-6835.465642291024	-6.5188898834618225
65	-6835.461916764501	-6841.4952427280405	5.9	-6835.461916764501	-6.033325963538685
66	-6835.458960598998	-6841.481925595899	5.9	-6835.458960598998	-6.022964996901136
67	-6835.458396850763	-6841.599588347069	6.0	-6835.458396850763	-6.141191496305842
