Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-14319.498153161203	-14314.455196269342	N	-14319.498153161203	5.042956891861632
1	-13011.447052311212	-13000.572509614747	2.0	-13011.447052311212	10.87454269646477
2	-10043.406855742769	-10042.64876759782	3.0	-10043.406855742769	0.7580881449476848
3	-9568.974371172872	-9577.494727531626	4.0	-9568.974371172872	-8.520356358754182
4	-7128.762370536675	-7139.482750615247	3.0	-7128.762370536675	-10.720380078571663
5	-7030.017966124808	-7038.481661543527	2.6	-7030.017966124808	-8.463695418718597
6	-6984.0165553759925	-6994.81546909291	2.5	-6984.0165553759925	-10.798913716916765
7	-6953.018610529106	-6960.696138036494	2.6	-6953.018610529106	-7.677527507387904
8	-6882.584461227514	-6888.8432973283	2.9	-6882.584461227514	-6.258836100785865
9	-6731.347338537862	-6738.533299818183	3.3	-6731.347338537862	-7.185961280320793
10	-6727.059320483663	-6737.647228601127	3.6	-6727.059320483663	-10.587908117463412
11	-6696.313833932276	-6704.128308086102	3.9	-6696.313833932276	-7.814474153826655
12	-6651.0584017935835	-6658.1079821315625	4.2	-6651.0584017935835	-7.049580337979018
13	-6616.486210172707	-6622.68249420882	4.5	-6616.486210172707	-6.19628403611303
14	-6604.818953873636	-6610.580353037284	4.9	-6604.818953873636	-5.761399163648272
15	-6591.459482330024	-6598.578865596634	5.1	-6591.459482330024	-7.1193832666108126
16	-6589.105091641073	-6598.727012658057	5.4	-6589.105091641073	-9.621921016983528
17	-6551.661693280279	-6558.167571072191	5.6	-6551.661693280279	-6.505877791911672
18	-6538.178417161255	-6544.298218275919	5.8	-6538.178417161255	-6.119801114663674
19	-6535.604882328674	-6541.713461418298	6.2	-6535.604882328674	-6.108579089623685
20	-6534.407170296359	-6540.057350855095	6.3	-6534.407170296359	-5.650180558736258
21	-6533.799103795669	-6540.693902796882	6.5	-6533.799103795669	-6.894799001212866
22	-6529.997467190159	-6536.676331817144	6.6	-6529.997467190159	-6.678864626985108
23	-6525.180522371611	-6531.877354909718	6.8	-6525.180522371611	-6.696832538106412
24	-6524.942350653573	-6532.066527159707	7.0	-6524.942350653573	-7.124176506134473
25	-6524.29265953776	-6530.636281874662	7.2	-6524.29265953776	-6.343622336901982
26	-6523.7683823970765	-6533.29882705549	7.4	-6523.7683823970765	-9.530444658413284
27	-6521.831060355506	-6529.903021522981	7.6	-6521.831060355506	-8.071961167475317
28	-6521.075660798185	-6528.779189918509	7.7	-6521.075660798185	-7.703529120324125
29	-6520.016107082982	-6526.385138388712	8.8	-6520.016107082982	-6.369031305730057
30	-6517.296047869153	-6523.771659285848	9.0	-6517.296047869153	-6.475611416694695
31	-6516.219339789068	-6522.587492591055	9.2	-6516.219339789068	-6.368152801987354
32	-6515.999566041313	-6522.42569248701	9.4	-6515.999566041313	-6.426126445696102
33	-6515.729313380722	-6521.8182253381765	9.6	-6515.729313380722	-6.088911957454629
34	-6515.277105204448	-6521.414172253398	9.8	-6515.277105204448	-6.137067048949492
35	-6515.142114350454	-6521.155737853416	10.0	-6515.142114350454	-6.013623502961796
36	-6514.557551901848	-6520.723662887455	10.1	-6514.557551901848	-6.166110985608024
37	-6514.486126155244	-6521.639665442145	10.3	-6514.486126155244	-7.15353928690065
38	-6514.400745412825	-6522.510137305547	10.5	-6514.400745412825	-8.109391892721762
39	-6514.37439394785	-6520.9154484121955	4.1	-6514.37439394785	-6.54105446434566
40	-6514.346415161095	-6520.5228384879865	4.2	-6514.346415161095	-6.176423326891135
41	-6514.047826229038	-6520.1214487919015	4.3	-6514.047826229038	-6.07362256286299
42	-6513.888480766152	-6520.717510036436	4.4	-6513.888480766152	-6.82902927028378
43	-6513.8801634143565	-6520.177579430178	4.4	-6513.8801634143565	-6.2974160158220425
44	-6513.877722252447	-6520.038175098823	4.5	-6513.877722252447	-6.1604528463760175
45	-6513.812311578066	-6520.279638861615	4.6	-6513.812311578066	-6.467327283549
46	-6513.777567160024	-6521.116443264216	4.7	-6513.777567160024	-7.3388761041927735
47	-6513.77696376648	-6519.87263133546	4.8	-6513.77696376648	-6.095667568980052
48	-6513.768910159976	-6520.553984166592	4.9	-6513.768910159976	-6.785074006615787
49	-6513.7189075526885	-6519.7951294583445	5.1	-6513.7189075526885	-6.076221905656225
50	-6513.690021537368	-6519.822194032177	5.2	-6513.690021537368	-6.1321724948094145
51	-6513.676557100976	-6520.679176537217	5.3	-6513.676557100976	-7.002619436240695
52	-6513.666939278252	-6519.835555733213	5.4	-6513.666939278252	-6.168616454960796
53	-6513.629298620325	-6519.705542833718	5.5	-6513.629298620325	-6.076244213392644
54	-6513.615992169955	-6520.7510999110045	5.6	-6513.615992169955	-7.1351077410498185
55	-6513.607589714472	-6520.119288161134	5.7	-6513.607589714472	-6.511698446662215
56	-6513.605337856013	-6520.78331476019	5.8	-6513.605337856013	-7.177976904176558
