"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6557.88022107417,4.92685977704963,0.0000000112360139722812,11.9655981420681
"2","GTR","relaxed_log_normal","yule",-6571.6497716651,6.65133595605193,1.17644717354138e-14,9.20273015866318
"3","GTR","strict","birth_death",-6562.99880384054,6.05989672644195,6.72419067412469e-11,6.12626288158162
"4","GTR","strict","yule",-6563.50893812692,6.65673526167411,4.03730457946736e-11,8.22685269085198
"5","HKY","relaxed_log_normal","birth_death",-6539.69047314811,3.96043516655596,0.891906691237908,10.685855226873
"6","HKY","relaxed_log_normal","yule",-6557.56205080953,5.23142056251998,0.0000000154451404117139,11.2731199316395
"7","HKY","strict","birth_death",-6542.93645153277,4.00636229276592,0.0347223348739554,6.24445551086002
"8","HKY","strict","yule",-6553.05490156999,5.1142576916698,0.0000014003026305985,9.81539769966602
"9","JC69","relaxed_log_normal","birth_death",-6543.24678067178,4.37384127669799,0.0254586100256216,8.59694874840984
"10","JC69","relaxed_log_normal","yule",-6542.62144955547,4.38462402516966,0.0475786967364344,4.94940987538307
"11","JC69","strict","birth_death",-6547.91550650809,5.75492930604838,0.000238909170480442,7.9011975692723
"12","TN93","relaxed_log_normal","birth_death",-6566.24009609892,7.39843165828179,2.63005407550227e-12,8.30901318388672
"13","TN93","relaxed_log_normal","yule",-6551.51299148216,5.90940899028369,0.00000654432633451805,7.49122230352087
"14","TN93","strict","birth_death",-6548.92813888017,4.7722549856184,0.0000867864989735036,7.62828605165017
"15","TN93","strict","yule",-6563.61665921534,5.84849532983249,3.62500692115306e-11,6.70998821107526
