Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7802.1881467140165	5.6	-7795.2742624050225	-6.913884308994287	
1	-7802.1881467140165	5.6	-7795.2742624050225	-6.913884308994287	
2	-7801.161982197672	5.9	-7794.140573385571	-7.021408812100854	
3	-7800.130099225273	6.0	-7792.972565771476	-7.157533453796203	
4	-7800.130099225273	6.0	-7792.972565771476	-7.157533453796203	
5	-7799.338933086236	6.2	-7792.594674738516	-6.744258347719374	
6	-7798.757037630902	6.4	-7791.984178793843	-6.772858837058767	
