Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-10928.151692343356	-10929.184296864998	N	-10928.151692343356	-1.0326045216418254
1	-9674.136806813163	-9674.970691501005	2.0	-9674.136806813163	-0.8338846878413986
2	-8862.195843578007	-8867.042809365763	3.0	-8862.195843578007	-4.846965787754955
3	-8685.920989995597	-8691.11157115856	4.0	-8685.920989995597	-5.190581162964239
4	-8636.899669932029	-8644.0347787217	4.1	-8636.899669932029	-7.135108789670709
5	-8231.948073338113	-8243.25921615925	3.5	-8231.948073338113	-11.31114282113612
6	-8122.516870749382	-8127.008214657117	3.4	-8122.516870749382	-4.491343907734422
7	-8025.90536583853	-8034.739945688926	3.4	-8025.90536583853	-8.834579850396041
8	-7968.872914086766	-7976.080061223858	3.6	-7968.872914086766	-7.207147137091486
9	-7923.539150392342	-7934.037197283614	3.1	-7923.539150392342	-10.498046891271482
10	-7914.14343123097	-7919.692623300605	3.2	-7914.14343123097	-5.549192069634774
11	-7863.667104153909	-7870.264751124598	3.1	-7863.667104153909	-6.597646970687954
12	-7856.998573247483	-7863.365777717882	3.2	-7856.998573247483	-6.3672044703994235
13	-7853.2601232297675	-7860.445121268177	3.2	-7853.2601232297675	-7.184998038409139
14	-7852.613519815743	-7859.451836950088	3.3	-7852.613519815743	-6.838317134345662
15	-7848.671171266986	-7855.101720430266	3.5	-7848.671171266986	-6.430549163280509
16	-7846.3835586044	-7853.2126750105535	3.6	-7846.3835586044	-6.8291164061538545
17	-7838.976604036233	-7845.9387740854145	3.8	-7838.976604036233	-6.96217004918171
18	-7832.024021991755	-7838.975700991606	4.0	-7832.024021991755	-6.9516789998504915
19	-7824.356895516134	-7831.897678044839	3.7	-7824.356895516134	-7.540782528705419
20	-7815.964051084201	-7822.908583409542	3.9	-7815.964051084201	-6.944532325341386
21	-7814.406853302595	-7821.328730671762	4.0	-7814.406853302595	-6.92187736916723
22	-7810.994781680521	-7818.700790521328	4.1	-7810.994781680521	-7.706008840807083
23	-7809.997117711277	-7816.743903712191	4.2	-7809.997117711277	-6.746786000914836
24	-7808.890182706328	-7815.493270600584	4.3	-7808.890182706328	-6.603087894256026
25	-7808.210671813588	-7815.109984753302	4.5	-7808.210671813588	-6.899312939713598
26	-7807.441987655308	-7814.35415673541	4.6	-7807.441987655308	-6.912169080101485
27	-7806.049166355466	-7813.685420141819	4.8	-7806.049166355466	-7.636253786353356
28	-7801.9416779211515	-7809.29435318829	4.9	-7801.9416779211515	-7.352675267138514
29	-7799.592833026978	-7806.573855051172	5.4	-7799.592833026978	-6.981022024194585
30	-7799.527023573983	-7806.071978194748	5.5	-7799.527023573983	-6.544954620765937
31	-7795.2742624050225	-7802.1881467140165	5.6	-7795.2742624050225	-6.913884308994287
32	-7794.685038673685	-7802.226902042206	5.8	-7794.685038673685	-7.54186336852125
33	-7794.140573385571	-7801.161982197672	5.9	-7794.140573385571	-7.021408812100854
34	-7792.972565771476	-7800.130099225273	6.0	-7792.972565771476	-7.157533453796203
35	-7792.594674738516	-7799.338933086236	6.2	-7792.594674738516	-6.744258347719374
36	-7792.262499791364	-7799.031654928535	6.3	-7792.262499791364	-6.769155137171785
37	-7791.984178793843	-7798.757037630902	6.4	-7791.984178793843	-6.772858837058767
38	-7791.93279089202	-7798.705071516626	6.5	-7791.93279089202	-6.7722806246053855
39	-7791.679526676095	-7799.3218183169865	6.8	-7791.679526676095	-7.642291640892376
40	-7791.615928741867	-7798.401933749742	6.9	-7791.615928741867	-6.786005007874998
41	-7791.521096107309	-7799.990769258392	6.9	-7791.521096107309	-8.469673151083189
42	-7791.45787605362	-7799.056001545256	7.0	-7791.45787605362	-7.598125491636172
43	-7791.445635085344	-7798.946055754515	7.1	-7791.445635085344	-7.500420669171253
44	-7791.316557022857	-7798.207098704693	7.2	-7791.316557022857	-6.890541681836029
45	-7791.305373980918	-7798.817449456058	7.3	-7791.305373980918	-7.512075475140135
46	-7791.292511057008	-7801.790556824308	7.4	-7791.292511057008	-10.498045767300182
47	-7791.2468766359725	-7798.091267545353	7.5	-7791.2468766359725	-6.844390909379854
48	-7791.211986686206	-7798.47000611877	7.6	-7791.211986686206	-7.258019432564042
49	-7791.194537139907	-7798.110332387942	5.7	-7791.194537139907	-6.9157952480354705
50	-7791.194381479079	-7799.58131348773	5.8	-7791.194381479079	-8.386932008650739
51	-7791.176265266241	-7798.506393655299	5.9	-7791.176265266241	-7.330128389058
52	-7791.169892669673	-7797.895962452396	5.9	-7791.169892669673	-6.72606978272321
53	-7791.166445805293	-7797.9850575280325	6.0	-7791.166445805293	-6.818611722739217
54	-7791.166382969628	-7797.898925987917	6.1	-7791.166382969628	-6.732543018288817
55	-7791.166232167062	-7798.8947761949585	6.2	-7791.166232167062	-7.728544027896797
56	-7791.1661290862085	-7797.892887841987	6.3	-7791.1661290862085	-6.726758755779267
57	-7791.165363922991	-7797.880454959134	6.4	-7791.165363922991	-6.71509103614293
58	-7791.165265651114	-7798.320107068213	6.4	-7791.165265651114	-7.154841417098222
59	-7791.164677383786	-7797.983856179014	5.8	-7791.164677383786	-6.819178795227925
60	-7791.163714261201	-7797.888579065343	5.9	-7791.163714261201	-6.7248648041423555
61	-7791.158532838297	-7797.904907628973	5.9	-7791.158532838297	-6.746374790675988
62	-7791.157523476983	-7797.903645463702	6.0	-7791.157523476983	-6.746121986718087
